Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1977-01-03,38.88,39.12,38.88,39.12,39750.0,0.0,1.0,8.27403236854495,8.325106642424855,8.27403236854495,8.325106642424855,47700.00000000001
1977-01-04,39.12,39.25,39.0,39.25,28333.0,0.0,1.0,8.32513015735034,8.352795467177936,8.299592948278715,8.352795467177936,33999.600000000006
1977-01-05,39.25,39.25,38.88,39.0,12750.0,0.0,1.0,8.350606393426096,8.350606393426096,8.271887301309723,8.297417817671791,15300.000000000002
1977-01-06,38.88,38.88,38.37,38.75,32333.0,0.0,1.0,8.269690883568506,8.269690883568506,8.161215000064905,8.242040168165627,38799.600000000006
1977-01-07,38.75,38.88,38.37,38.88,17000.0,0.0,1.0,8.242078150092581,8.269728992918699,8.161252609523931,8.269728992918699,20400.0
1977-01-10,38.88,39.38,38.88,39.25,35583.0,0.0,1.0,8.274055739207087,8.380460777005533,8.274055739207087,8.352795467177936,42699.600000000006
1977-01-11,39.25,39.5,39.25,39.38,18333.0,0.0,1.0,8.343619764714058,8.396763839648543,8.343619764714058,8.371254683679991,21999.600000000002
1977-01-12,39.38,39.38,38.88,39.38,29000.0,0.0,1.0,8.371254683679991,8.371254683679991,8.264966533811021,8.371254683679991,34800.0
1977-01-13,39.38,39.87,39.38,39.63,28583.0,0.0,1.0,8.373474168076449,8.477664171691416,8.373474168076449,8.426632333186125,34299.600000000006
1977-01-14,39.63,39.87,39.5,39.75,17167.0,0.0,1.0,8.42879867897184,8.479843636906566,8.401149326757194,8.454321157939201,20600.4
1977-01-17,39.25,39.25,38.63,38.88,28000.0,0.0,1.0,8.348427545577646,8.348427545577646,8.216554295176165,8.269728992918699,33600.0
1977-01-18,38.88,39.0,38.63,39.0,28333.0,0.0,1.0,8.271887301309723,8.297417817671791,8.218698725555418,8.297417817671791,33999.600000000006
1977-01-19,39.0,39.12,38.75,39.12,16333.0,0.0,1.0,8.299569505484902,8.325106642424855,8.246367136859998,8.325106642424855,19599.600000000002
1977-01-20,39.12,39.38,38.37,38.88,66000.0,0.0,1.0,8.320776702751528,8.376078388403764,8.161252609523931,8.269728992918699,79200.0
1977-01-21,38.88,39.0,38.5,38.88,16000.0,0.0,1.0,8.269728992918699,8.295252847835114,8.188903452350047,8.269728992918699,19200.0
1977-01-24,38.88,39.0,38.63,39.0,20000.0,0.0,1.0,8.271887301309723,8.297417817671791,8.218698725555418,8.297417817671791,24000.000000000004
1977-01-25,39.0,39.38,39.0,39.25,20750.0,0.0,1.0,8.299592948278715,8.380460777005533,8.299592948278715,8.352795467177936,24900.000000000004
1977-01-26,39.12,39.12,38.75,38.88,19000.0,0.0,1.0,8.320776702751528,8.320776702751528,8.242078150092581,8.269728992918699,22800.000000000004
1977-01-27,38.88,39.0,38.5,39.0,22000.0,0.0,1.0,8.271887301309723,8.297417817671791,8.191040666163177,8.297417817671791,26400.000000000004
1977-01-28,38.88,39.0,38.5,39.0,22000.0,0.0,1.0,8.271887301309723,8.297417817671791,8.191040666163177,8.297417817671791,26400.000000000004
1977-01-31,38.88,38.88,38.5,38.63,15000.0,0.0,1.0,8.267511784413145,8.267511784413145,8.186707914092235,8.214351343412547,18000.0
1977-02-01,38.63,38.88,38.63,38.88,16750.0,0.0,1.0,8.216554295176165,8.269728992918699,8.216554295176165,8.269728992918699,20100.0
1977-02-02,38.88,39.0,38.63,38.63,59750.0,0.0,1.0,8.267511784413145,8.293028796093433,8.214351343412547,8.214351343412547,71700.0
1977-02-03,38.63,39.0,38.25,38.63,155167.0,0.0,1.0,8.214351343412547,8.293028796093433,8.133547473091635,8.214351343412547,186200.40000000002
1977-02-04,38.63,39.0,38.5,38.75,29583.0,0.0,1.0,8.216516430870662,8.295214620863469,8.188865715467784,8.242040168165627,35499.600000000006
1977-02-07,38.75,39.0,38.63,38.88,17167.0,0.0,1.0,8.242078150092581,8.295252847835114,8.216554295176165,8.269728992918699,20600.4
1977-02-08,38.88,39.12,38.75,39.0,19583.0,0.0,1.0,8.271887301309723,8.322948334033857,8.244229241917484,8.297417817671791,23499.600000000002
1977-02-09,39.0,39.0,38.63,38.75,14333.0,0.0,1.0,8.295214620863469,8.295214620863469,8.216516430870662,8.242040168165627,17199.600000000002
1977-02-10,38.75,39.25,38.75,39.25,13583.0,0.0,1.0,8.246390429379492,8.352795467177936,8.246390429379492,8.352795467177936,16299.600000000002
1977-02-11,39.25,39.25,38.88,39.12,20583.0,0.0,1.0,8.352771874109806,8.352771874109806,8.27403236854495,8.325106642424855,24699.600000000002
1977-02-14,39.12,39.12,38.88,39.0,14333.0,0.0,1.0,8.322948334033857,8.322948334033857,8.271887301309723,8.297417817671791,17199.600000000002
1977-02-15,39.0,39.0,38.75,39.0,14000.0,0.0,1.0,8.297417817671791,8.297417817671791,8.244229241917484,8.297417817671791,16800.0
1977-02-16,39.0,39.12,38.75,39.0,21000.0,0.0,1.0,8.297417817671791,8.322948334033857,8.244229241917484,8.297417817671791,25200.000000000004
1977-02-17,39.0,39.12,38.88,38.88,18583.0,0.0,1.0,8.295252847835114,8.320776702751528,8.269728992918699,8.269728992918699,22299.600000000002
1977-02-18,38.88,39.25,38.75,39.25,21750.0,0.0,1.0,8.274055739207087,8.352795467177936,8.246390429379492,8.352795467177936,26100.000000000004
1977-02-22,39.25,39.25,39.0,39.25,14583.0,0.0,1.0,8.352795467177936,8.352795467177936,8.299592948278715,8.352795467177936,17499.600000000002
1977-02-23,39.25,39.38,39.12,39.38,36750.0,0.0,1.0,8.343619764714058,8.371254683679991,8.315984845748126,8.371254683679991,44100.00000000001
1977-02-24,39.38,39.38,39.12,39.38,67000.0,0.0,1.0,8.371254683679991,8.371254683679991,8.315984845748126,8.371254683679991,80400.0
1977-02-25,39.25,39.25,39.0,39.0,15000.0,0.0,1.0,8.350606393426096,8.350606393426096,8.297417817671791,8.297417817671791,18000.0
1977-02-28,39.0,39.25,38.5,38.88,29167.0,0.0,1.0,8.295252847835114,8.348427545577646,8.188903452350047,8.269728992918699,35000.4
1977-03-01,38.88,39.25,38.63,39.0,39167.0,0.0,1.0,8.271887301309723,8.350606393426096,8.218698725555418,8.297417817671791,47000.4
1977-03-02,39.0,39.38,39.0,39.38,30167.0,0.0,1.0,8.290475689779575,8.371254683679991,8.290475689779575,8.371254683679991,36200.4
1977-03-03,39.38,39.38,39.12,39.38,56750.0,0.0,1.0,8.371254683679991,8.371254683679991,8.315984845748126,8.371254683679991,68100.0
1977-03-04,39.38,39.63,39.25,39.63,36167.0,0.0,1.0,8.373474168076449,8.426632333186125,8.345831922219414,8.426632333186125,43400.4
1977-03-07,39.63,39.75,39.38,39.63,17583.0,0.0,1.0,8.426632333186125,8.45214825243877,8.373474168076449,8.426632333186125,21099.600000000002
1977-03-08,39.63,39.87,39.38,39.38,36167.0,0.0,1.0,8.424398758614474,8.475417070551579,8.371254683679991,8.371254683679991,43400.4
1977-03-09,39.38,39.38,39.12,39.25,18000.0,0.0,1.0,8.380460777005533,8.380460777005533,8.32513015735034,8.352795467177936,21600.000000000004
1977-03-10,39.25,39.38,38.88,39.12,21167.0,0.0,1.0,8.352771874109806,8.380437105794755,8.27403236854495,8.325106642424855,25400.4
1977-03-11,39.12,39.38,39.12,39.25,20583.0,0.0,1.0,8.32513015735034,8.380460777005533,8.32513015735034,8.352795467177936,24699.600000000002
1977-03-14,39.25,39.5,39.12,39.5,24000.0,0.0,1.0,8.345785638126525,8.398943508433064,8.318143545567125,8.398943508433064,28800.000000000004
1977-03-15,39.63,40.0,39.63,39.75,86000.0,0.0,1.0,8.42879867897184,8.507492989121209,8.42879867897184,8.454321157939201,103200.00000000001
1977-03-16,39.75,40.25,39.75,40.0,71333.0,0.0,1.0,8.456513189898832,8.562884424991898,8.456513189898832,8.509698807445364,85599.6
1977-03-17,40.0,40.13,39.63,39.87,34000.0,0.0,1.0,8.509666398487386,8.53732281428247,8.430951984301378,8.482009982692302,40800.0
