Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2013-12-12,9.75,10.0,9.04,9.5,5695400.0,0.0,1.0,1404.0,1440.0,1301.76,1368.0,39551.388888889
2013-12-13,9.42,9.8,9.4,9.75,713600.0,0.0,1.0,1356.48,1411.2,1353.6,1404.0,4955.5555555555
2013-12-16,9.83,9.85,9.59,9.69,28600.0,0.0,1.0,1415.52,1418.4,1380.96,1395.36,198.61111111111
2013-12-17,9.85,9.85,9.58,9.66,117100.0,0.0,1.0,1418.4,1418.4,1379.52,1391.04,813.19444444444
2013-12-18,9.61,9.64,9.37,9.59,308300.0,0.0,1.0,1383.84,1388.16,1349.28,1380.96,2140.9722222222
2013-12-19,9.55,9.68,9.25,9.4,545700.0,0.0,1.0,1375.2,1393.92,1332.0,1353.6,3789.5833333333
2013-12-20,9.4,9.58,9.38,9.38,1526900.0,0.0,1.0,1353.6,1379.52,1350.72,1350.72,10603.472222222
2013-12-23,9.4,9.73,9.3,9.7,812200.0,0.0,1.0,1353.6,1401.12,1339.2,1396.8,5640.2777777778
2013-12-24,9.74,10.18,9.73,10.05,166000.0,0.0,1.0,1402.56,1465.92,1401.12,1447.2,1152.7777777778
2013-12-26,10.1,10.1,9.79,9.98,274700.0,0.0,1.0,1454.4,1454.4,1409.76,1437.12,1907.6388888889
2013-12-27,10.11,10.12,9.65,9.99,692500.0,0.0,1.0,1455.84,1457.28,1389.6,1438.56,4809.0277777778
2013-12-30,9.91,9.91,9.67,9.75,318100.0,0.0,1.0,1427.04,1427.04,1392.48,1404.0,2209.0277777778
2013-12-31,9.75,10.05,9.75,10.05,240700.0,0.0,1.0,1404.0,1447.2,1404.0,1447.2,1671.5277777778
2014-01-02,9.95,10.05,9.7,9.72,661700.0,0.0,1.0,1432.8,1447.2,1396.8,1399.68,4595.1388888889
2014-01-03,9.72,9.78,9.54,9.71,423900.0,0.0,1.0,1399.68,1408.32,1373.76,1398.24,2943.75
2014-01-06,9.86,9.9,9.73,9.73,1509300.0,0.0,1.0,1419.84,1425.6,1401.12,1401.12,10481.25
2014-01-07,9.8,10.04,9.76,9.8,2697800.0,0.0,1.0,1411.2,1445.76,1405.44,1411.2,18734.722222222
2014-01-08,9.85,10.05,9.76,9.96,612500.0,0.0,1.0,1418.4,1447.2,1405.44,1434.24,4253.4722222222
2014-01-09,10.19,10.19,9.8,9.86,489100.0,0.0,1.0,1467.36,1467.36,1411.2,1419.84,3396.5277777778
2014-01-10,9.99,9.99,9.78,9.9,185200.0,0.0,1.0,1438.56,1438.56,1408.32,1425.6,1286.1111111111
2014-01-13,10.0,10.0,9.8,9.82,514000.0,0.0,1.0,1440.0,1440.0,1411.2,1414.08,3569.4444444444
2014-01-14,9.9,9.91,9.71,9.8,1289500.0,0.0,1.0,1425.6,1427.04,1398.24,1411.2,8954.8611111111
2014-01-15,9.83,10.24,9.83,10.24,1226800.0,0.0,1.0,1415.52,1474.56,1415.52,1474.56,8519.4444444444
2014-01-16,10.25,10.67,10.11,10.58,1183900.0,0.0,1.0,1476.0,1536.48,1455.84,1523.52,8221.5277777777
2014-01-17,10.63,10.63,10.28,10.35,312400.0,0.0,1.0,1530.72,1530.72,1480.32,1490.4,2169.4444444444
2014-01-21,10.73,10.73,10.34,10.44,210700.0,0.0,1.0,1545.12,1545.12,1488.96,1503.36,1463.1944444444
2014-01-22,10.44,10.44,10.12,10.28,317500.0,0.0,1.0,1503.36,1503.36,1457.28,1480.32,2204.8611111111
2014-01-23,10.16,10.27,9.81,9.9,739900.0,0.0,1.0,1463.04,1478.88,1412.64,1425.6,5138.1944444444
2014-01-24,9.97,10.01,9.6,9.65,779200.0,0.0,1.0,1435.68,1441.44,1382.4,1389.6,5411.1111111111
2014-01-27,9.85,10.14,9.6,9.77,1064000.0,0.0,1.0,1418.4,1460.16,1382.4,1406.88,7388.8888888889
2014-01-28,9.83,9.99,9.7,9.96,177900.0,0.0,1.0,1415.52,1438.56,1396.8,1434.24,1235.4166666667
2014-01-29,9.95,9.98,9.72,9.86,95100.0,0.0,1.0,1432.8,1437.12,1399.68,1419.84,660.41666666666
2014-01-30,9.86,9.96,9.73,9.83,162200.0,0.0,1.0,1419.84,1434.24,1401.12,1415.52,1126.3888888889
2014-01-31,9.82,10.0,9.74,9.82,182200.0,0.0,1.0,1414.08,1440.0,1402.56,1414.08,1265.2777777778
2014-02-03,9.84,9.95,9.55,9.56,433200.0,0.0,1.0,1416.96,1432.8,1375.2,1376.64,3008.3333333333
2014-02-04,9.61,9.94,9.3,9.92,308000.0,0.0,1.0,1383.84,1431.36,1339.2,1428.48,2138.8888888889
2014-02-05,9.9,9.99,9.8,9.82,216500.0,0.0,1.0,1425.6,1438.56,1411.2,1414.08,1503.4722222222
2014-02-06,9.82,9.93,9.64,9.7,789200.0,0.0,1.0,1414.08,1429.92,1388.16,1396.8,5480.5555555555
2014-02-07,9.74,9.85,9.7,9.73,99700.0,0.0,1.0,1402.56,1418.4,1396.8,1401.12,692.36111111111
2014-02-10,9.7,9.75,9.7,9.73,101600.0,0.0,1.0,1396.8,1404.0,1396.8,1401.12,705.55555555555
2014-02-11,9.81,9.81,9.66,9.74,176400.0,0.0,1.0,1412.64,1412.64,1391.04,1402.56,1225.0
2014-02-12,9.76,9.78,9.51,9.7,151700.0,0.0,1.0,1405.44,1408.32,1369.44,1396.8,1053.4722222222
2014-02-13,9.62,9.76,9.52,9.7,85700.0,0.0,1.0,1385.28,1405.44,1370.88,1396.8,595.13888888889
2014-02-14,9.62,9.7,9.41,9.59,279700.0,0.0,1.0,1385.28,1396.8,1355.04,1380.96,1942.3611111111
2014-02-18,9.8,9.8,9.49,9.56,98700.0,0.0,1.0,1411.2,1411.2,1366.56,1376.64,685.41666666666
2014-02-19,9.55,9.55,9.31,9.31,350100.0,0.0,1.0,1375.2,1375.2,1340.64,1340.64,2431.25
2014-02-20,9.3,9.37,9.16,9.3,153800.0,0.0,1.0,1339.2,1349.28,1319.04,1339.2,1068.0555555556
2014-02-21,9.37,9.48,9.2,9.33,1407300.0,0.0,1.0,1349.28,1365.12,1324.8,1343.52,9772.9166666666
2014-02-24,9.33,9.38,9.25,9.26,126800.0,0.0,1.0,1343.52,1350.72,1332.0,1333.44,880.55555555555
2014-02-25,9.2,9.32,9.09,9.16,174300.0,0.0,1.0,1324.8,1342.08,1308.96,1319.04,1210.4166666667
2014-02-26,9.22,9.45,9.19,9.4,231000.0,0.0,1.0,1327.68,1360.8,1323.36,1353.6,1604.1666666667
2014-02-27,9.4,9.56,9.4,9.45,1642600.0,0.0,1.0,1353.6,1376.64,1353.6,1360.8,11406.944444444
2014-02-28,9.43,9.64,9.4,9.45,579900.0,0.0,1.0,1357.92,1388.16,1353.6,1360.8,4027.0833333333
2014-03-03,9.35,9.44,9.24,9.4,440500.0,0.0,1.0,1346.4,1359.36,1330.56,1353.6,3059.0277777778
2014-03-04,9.44,9.89,9.38,9.63,1017200.0,0.0,1.0,1359.36,1424.16,1350.72,1386.72,7063.8888888889
2014-03-05,9.69,9.8,9.69,9.71,1306500.0,0.0,1.0,1395.36,1411.2,1395.36,1398.24,9072.9166666666
2014-03-06,10.09,10.09,9.71,9.84,4851200.0,0.0,1.0,1452.96,1452.96,1398.24,1416.96,33688.888888889
2014-03-07,9.92,10.2,9.77,10.16,1875900.0,0.0,1.0,1428.48,1468.8,1406.88,1463.04,13027.083333333
2014-03-10,10.16,10.2,9.94,10.0,653200.0,0.0,1.0,1463.04,1468.8,1431.36,1440.0,4536.1111111111
2014-03-11,9.95,10.12,9.73,10.02,5940600.0,0.0,1.0,1432.8,1457.28,1401.12,1442.88,41254.166666666
2014-03-12,9.9,9.96,9.76,9.85,1567100.0,0.0,1.0,1425.6,1434.24,1405.44,1418.4,10882.638888889
2014-03-13,9.83,10.0,9.54,9.59,692300.0,0.0,1.0,1415.52,1440.0,1373.76,1380.96,4807.6388888889
2014-03-14,9.65,9.7,9.27,9.3,1404400.0,0.0,1.0,1389.6,1396.8,1334.88,1339.2,9752.7777777777
2014-03-17,9.3,9.67,9.29,9.64,907600.0,0.0,1.0,1339.2,1392.48,1337.76,1388.16,6302.7777777778
2014-03-18,9.59,9.75,9.59,9.75,1002600.0,0.0,1.0,1380.96,1404.0,1380.96,1404.0,6962.5
2014-03-19,9.75,9.82,9.66,9.82,871400.0,0.0,1.0,1404.0,1414.08,1391.04,1414.08,6051.3888888889
